project,country,status,discovery_year,start_year,operator,owner,parent,fuel_type,unit_type,lat,lng,url
Butler County - Pennenergy,United States,operating,,,Pennenergy Resources,,,oil and gas,asset,40.817,-79.933,"https://www.gem.wiki/Butler_County_-_Pennenergy_Oil_and_Gas_Asset_(Pennsylvania,_United_States)"
Butler County - XTO,United States,operating,,,XTO Energy,,,oil and gas,asset,40.835,-79.883,"https://www.gem.wiki/Butler_County_-_XTO_Oil_and_Gas_Asset_(Pennsylvania,_United_States)"
Buzzard Creek - Laramie,United States,operating,,,Laramie Energy,,,oil and gas,asset,39.26,-107.76,"https://www.gem.wiki/Buzzard_Creek_-_Laramie_Oil_and_Gas_Asset_(Colorado,_United_States)"
Byron - Merit,United States,operating,,,Merit Energy Company,,,oil and gas,asset,44.815,-108.5,"https://www.gem.wiki/Byron_-_Merit_Oil_and_Gas_Asset_(Wyoming,_United_States)"
Cabernet - Lime Rock,United States,operating,,,Lime Rock Resources,,,gas,asset,47.256,-102.93,"https://www.gem.wiki/Cabernet_-_Lime_Rock_Gas_Asset_(North_Dakota,_United_States)"
Caddo (Duffer) - Delta,United States,operating,,,Delta Oil & Gas,,,oil and gas,asset,32.775,-98.656,"https://www.gem.wiki/Caddo_(Duffer)_-_Delta_Oil_and_Gas_Asset_(Texas,_United_States)"
Caddo Pine Island - Aethon,United States,operating,,,Aethon Energy,,,oil and gas,asset,32.689,-93.867,"https://www.gem.wiki/Caddo_Pine_Island_-_Aethon_Oil_and_Gas_Asset_(Louisiana,_United_States)"
Caddo Pine Island - Three Sisters Petroleum,United States,operating,,,Three Sisters Petroleum,,,oil,asset,32.776,-93.911,"https://www.gem.wiki/Caddo_Pine_Island_-_Three_Sisters_Petroleum_Oil_Asset_(Louisiana,_United_States)"
Caillou Island - Hilcorp,United States,operating,,,Hilcorp Energy,,,oil and gas,asset,29.102,-90.503,"https://www.gem.wiki/Caillou_Island_-_Hilcorp_Oil_and_Gas_Asset_(Louisiana,_United_States)"
Camel Butte - Burlington,United States,operating,,,Burlington Resources,,,oil and gas,asset,47.88,-102.94,"https://www.gem.wiki/Camel_Butte_-_Burlington_Oil_and_Gas_Asset_(North_Dakota,_United_States)"
Camel Butte - Continental,United States,operating,,,Continental Resources,,,oil and gas,asset,47.879,-102.95,"https://www.gem.wiki/Camel_Butte_-_Continental_Oil_and_Gas_Asset_(North_Dakota,_United_States)"
Cameron County - Seneca,United States,operating,,,Seneca Resources,,,gas,asset,41.59,-78.358,"https://www.gem.wiki/Cameron_County_-_Seneca_Gas_Asset_(Pennsylvania,_United_States)"
Camp - Continental,United States,operating,,,Continental Resources,,,gas,asset,47.985,-103.44,"https://www.gem.wiki/Camp_-_Continental_Gas_Asset_(North_Dakota,_United_States)"
Camp - Equinor,United States,operating,,,Equinor Energy,,,oil and gas,asset,47.946,-103.6,"https://www.gem.wiki/Camp_-_Equinor_Oil_and_Gas_Asset_(North_Dakota,_United_States)"
Camp - Oasis Petroleum,United States,operating,,,Oasis Petroleum,,,oil and gas,asset,47.963,-103.51,"https://www.gem.wiki/Camp_-_Oasis_Petroleum_Oil_and_Gas_Asset_(North_Dakota,_United_States)"
"Campana, South (Wilcox 9500) - Hurd Enterprises",United States,operating,,,Hurd Enterprises,,,oil and gas,asset,28.074,-98.456,"https://www.gem.wiki/Campana,_South_(Wilcox_9500)_-_Hurd_Enterprises_Oil_and_Gas_Asset_(Texas,_United_States)"
Campbell Creek (9300) - Mascot,United States,operating,,,Mascot Oil Company,,,oil and gas,asset,29.486,-96.952,"https://www.gem.wiki/Campbell_Creek_(9300)_-_Mascot_Oil_and_Gas_Asset_(Texas,_United_States)"
Canadian Bayou - Indigo Minerals,United States,operating,,,Indigo Minerals,,,gas,asset,32.028,-93.859,"https://www.gem.wiki/Canadian_Bayou_-_Indigo_Minerals_Gas_Asset_(Louisiana,_United_States)"
Canyon Creek - HRM,United States,operating,,,HRM Resources,,,oil and gas,asset,41.082,-108.73,"https://www.gem.wiki/Canyon_Creek_-_HRM_Oil_and_Gas_Asset_(Wyoming,_United_States)"
Canyon Creek - Wexpro,United States,operating,,,Wexpro Company,,,oil and gas,asset,41.054,-108.75,"https://www.gem.wiki/Canyon_Creek_-_Wexpro_Oil_and_Gas_Asset_(Wyoming,_United_States)"
Capa - Hess Bakken,United States,operating,,,Hess Bakken Investments,,,oil and gas,asset,48.23,-102.94,"https://www.gem.wiki/Capa_-_Hess_Bakken_Oil_and_Gas_Asset_(North_Dakota,_United_States)"
Capa - XTO,United States,operating,,,XTO Energy,,,oil and gas,asset,48.231,-102.89,"https://www.gem.wiki/Capa_-_XTO_Oil_and_Gas_Asset_(North_Dakota,_United_States)"
Caprito (Delaware Middle) - Sheridan,United States,operating,,,Sheridan Production Company,,,oil and gas,asset,31.503,-103.14,"https://www.gem.wiki/Caprito_(Delaware_Middle)_-_Sheridan_Oil_and_Gas_Asset_(Texas,_United_States)"
Carm-Ann (San Andres) - Parallel Petroleum,United States,operating,,,Parallel Petroleum,,,oil and gas,asset,32.547,-102.62,"https://www.gem.wiki/Carm-Ann_(San_Andres)_-_Parallel_Petroleum_Oil_and_Gas_Asset_(Texas,_United_States)"
Carroll County - Chesapeake,United States,operating,,,Chesapeake Operating,,,oil and gas,asset,40.53,-81.029,"https://www.gem.wiki/Carroll_County_-_Chesapeake_Oil_and_Gas_Asset_(Ohio,_United_States)"
Carroll County - EAP Ohio,United States,operating,,,EAP Ohio,,,oil and gas,asset,40.53,-81.03,"https://www.gem.wiki/Carroll_County_-_EAP_Ohio_Oil_and_Gas_Asset_(Ohio,_United_States)"
Carroll County - Pennenergy,United States,operating,,,Pennenergy Resources,,,oil and gas,asset,40.629,-81.067,"https://www.gem.wiki/Carroll_County_-_Pennenergy_Oil_and_Gas_Asset_(Ohio,_United_States)"
Carroll Creek - GEP Haynesville,United States,operating,,,GEP Haynesville,,,gas,asset,32.064,-93.318,"https://www.gem.wiki/Carroll_Creek_-_GEP_Haynesville_Gas_Asset_(Louisiana,_United_States)"
Carroll Creek - Vine,United States,operating,,,Vine Oil & Gas,,,gas,asset,32.03,-93.257,"https://www.gem.wiki/Carroll_Creek_-_Vine_Gas_Asset_(Louisiana,_United_States)"
Carroll Springs (Rodessa) - O'Benco,United States,operating,,,O'Benco,,,oil and gas,asset,32.042,-95.747,"https://www.gem.wiki/Carroll_Springs_(Rodessa)_-_O'Benco_Oil_and_Gas_Asset_(Texas,_United_States)"
Carter-New Mexico (San Andres) - Joint Resources,United States,operating,,,Joint Resources Company,,,oil and gas,asset,32.783,-103.05,"https://www.gem.wiki/Carter-New_Mexico_(San_Andres)_-_Joint_Resources_Oil_and_Gas_Asset_(Texas,_United_States)"
Carthage (Cotton Valley) - Amplify,United States,operating,,,Amplify Energy,,,oil and gas,asset,32.123,-94.281,"https://www.gem.wiki/Carthage_(Cotton_Valley)_-_Amplify_Oil_and_Gas_Asset_(Texas,_United_States)"
Carthage (Cotton Valley) - BP,United States,operating,,,BP,,,oil and gas,asset,32.198,-94.358,"https://www.gem.wiki/Carthage_(Cotton_Valley)_-_BP_Oil_and_Gas_Asset_(Texas,_United_States)"
Carthage (Cotton Valley) - CCI,United States,operating,,,CCI,,,oil and gas,asset,32.127,-94.371,"https://www.gem.wiki/Carthage_(Cotton_Valley)_-_CCI_Oil_and_Gas_Asset_(Texas,_United_States)"
Carthage (Cotton Valley) - CRD,United States,operating,,,CRD Operating,,,oil and gas,asset,32.139,-94.424,"https://www.gem.wiki/Carthage_(Cotton_Valley)_-_CRD_Oil_and_Gas_Asset_(Texas,_United_States)"
Carthage (Cotton Valley) - Chevron,United States,operating,,,Chevron,,,oil and gas,asset,32.193,-94.356,"https://www.gem.wiki/Carthage_(Cotton_Valley)_-_Chevron_Oil_and_Gas_Asset_(Texas,_United_States)"
Carthage (Cotton Valley) - Comstock,United States,operating,,,Comstock Oil & Gas,,,oil and gas,asset,32.216,-94.394,"https://www.gem.wiki/Carthage_(Cotton_Valley)_-_Comstock_Oil_and_Gas_Asset_(Texas,_United_States)"
Carthage (Cotton Valley) - Petroquest,United States,operating,,,Petroquest Energy,,,oil and gas,asset,32.151,-94.098,"https://www.gem.wiki/Carthage_(Cotton_Valley)_-_Petroquest_Oil_and_Gas_Asset_(Texas,_United_States)"
Carthage (Cotton Valley) - R. Lacy Services,United States,operating,,,R. Lacy Services,,,oil and gas,asset,32.263,-94.352,"https://www.gem.wiki/Carthage_(Cotton_Valley)_-_R._Lacy_Services_Oil_and_Gas_Asset_(Texas,_United_States)"
Carthage (Cotton Valley) - Rockcliff,United States,operating,,,Rockcliff Energy Operating,,,oil and gas,asset,32.131,-94.249,"https://www.gem.wiki/Carthage_(Cotton_Valley)_-_Rockcliff_Oil_and_Gas_Asset_(Texas,_United_States)"
Carthage (Cotton Valley) - Sheridan,United States,operating,,,Sheridan Production Company,,,oil and gas,asset,32.145,-94.313,"https://www.gem.wiki/Carthage_(Cotton_Valley)_-_Sheridan_Oil_and_Gas_Asset_(Texas,_United_States)"
Carthage (Cotton Valley) - Tanos,United States,operating,,,Tanos Exploration,,,oil and gas,asset,32.046,-94.325,"https://www.gem.wiki/Carthage_(Cotton_Valley)_-_Tanos_Oil_and_Gas_Asset_(Texas,_United_States)"
Carthage (Cotton Valley) - Valence,United States,operating,,,Valence Operating Company,,,oil and gas,asset,32.211,-94.403,"https://www.gem.wiki/Carthage_(Cotton_Valley)_-_Valence_Oil_and_Gas_Asset_(Texas,_United_States)"
Carthage (Cotton Valley) - XTO,United States,operating,,,XTO Energy,,,oil and gas,asset,32.132,-94.332,"https://www.gem.wiki/Carthage_(Cotton_Valley)_-_XTO_Oil_and_Gas_Asset_(Texas,_United_States)"
Carthage (Haynesville Shale) - Aethon,United States,operating,,,Aethon Energy,,,oil and gas,asset,31.585,-94.237,"https://www.gem.wiki/Carthage_(Haynesville_Shale)_-_Aethon_Oil_and_Gas_Asset_(Texas,_United_States)"
Carthage (Haynesville Shale) - Amplify,United States,operating,,,Amplify Energy,,,oil and gas,asset,32.042,-94.23,"https://www.gem.wiki/Carthage_(Haynesville_Shale)_-_Amplify_Oil_and_Gas_Asset_(Texas,_United_States)"
Carthage (Haynesville Shale) - BP,United States,operating,,,BP,,,oil and gas,asset,31.551,-94.414,"https://www.gem.wiki/Carthage_(Haynesville_Shale)_-_BP_Oil_and_Gas_Asset_(Texas,_United_States)"
Carthage (Haynesville Shale) - CCI,United States,operating,,,CCI,,,oil and gas,asset,31.979,-94.291,"https://www.gem.wiki/Carthage_(Haynesville_Shale)_-_CCI_Oil_and_Gas_Asset_(Texas,_United_States)"
Carthage (Haynesville Shale) - Chevron,United States,operating,,,Chevron,,,oil and gas,asset,32.06,-94.166,"https://www.gem.wiki/Carthage_(Haynesville_Shale)_-_Chevron_Oil_and_Gas_Asset_(Texas,_United_States)"
Carthage (Haynesville Shale) - Comstock,United States,operating,,,Comstock Oil & Gas,,,oil and gas,asset,31.97,-94.318,"https://www.gem.wiki/Carthage_(Haynesville_Shale)_-_Comstock_Oil_and_Gas_Asset_(Texas,_United_States)"
Carthage (Haynesville Shale) - Comstock LP,United States,operating,,,"Comstock Oil & Gas, LP",,,gas,asset,31.979,-94.291,"https://www.gem.wiki/Carthage_(Haynesville_Shale)_-_Comstock_LP_Gas_Asset_(Texas,_United_States)"
Carthage (Haynesville Shale) - Covey Park,United States,operating,,,Covey Park Operating,,,oil and gas,asset,31.979,-94.291,"https://www.gem.wiki/Carthage_(Haynesville_Shale)_-_Covey_Park_Oil_and_Gas_Asset_(Texas,_United_States)"
Carthage (Haynesville Shale) - Exco,United States,operating,,,Exco Operating Co.,,,gas,asset,31.584,-94.316,"https://www.gem.wiki/Carthage_(Haynesville_Shale)_-_Exco_Gas_Asset_(Texas,_United_States)"
Carthage (Haynesville Shale) - R. Lacy Services,United States,operating,,,R. Lacy Services,,,oil and gas,asset,32.26,-94.367,"https://www.gem.wiki/Carthage_(Haynesville_Shale)_-_R._Lacy_Services_Oil_and_Gas_Asset_(Texas,_United_States)"
Carthage (Haynesville Shale) - Rockcliff,United States,operating,,,Rockcliff Energy Operating,,,oil and gas,asset,32.308,-94.19,"https://www.gem.wiki/Carthage_(Haynesville_Shale)_-_Rockcliff_Oil_and_Gas_Asset_(Texas,_United_States)"
Carthage (Haynesville Shale) - Sabine,United States,operating,,,Sabine Oil & Gas Corporation,,,oil and gas,asset,32.347,-94.34,"https://www.gem.wiki/Carthage_(Haynesville_Shale)_-_Sabine_Oil_and_Gas_Asset_(Texas,_United_States)"
Carthage (Haynesville Shale) - Shelby Boswell Operator,United States,operating,,,Shelby Boswell Operator,,,gas,asset,31.654,-94.043,"https://www.gem.wiki/Carthage_(Haynesville_Shale)_-_Shelby_Boswell_Operator_Gas_Asset_(Texas,_United_States)"
Carthage (Haynesville Shale) - Sheridan,United States,operating,,,Sheridan Production Company,,,oil and gas,asset,31.979,-94.291,"https://www.gem.wiki/Carthage_(Haynesville_Shale)_-_Sheridan_Oil_and_Gas_Asset_(Texas,_United_States)"
Carthage (Haynesville Shale) - Tanos,United States,operating,,,Tanos Exploration,,,oil and gas,asset,32.397,-94.287,"https://www.gem.wiki/Carthage_(Haynesville_Shale)_-_Tanos_Oil_and_Gas_Asset_(Texas,_United_States)"
Carthage (Haynesville Shale) - Valence,United States,operating,,,Valence Operating Company,,,oil and gas,asset,32.268,-94.439,"https://www.gem.wiki/Carthage_(Haynesville_Shale)_-_Valence_Oil_and_Gas_Asset_(Texas,_United_States)"
Carthage (Haynesville Shale) - Weatherly,United States,operating,,,Weatherly Oil & Gas,,,gas,asset,31.979,-94.291,"https://www.gem.wiki/Carthage_(Haynesville_Shale)_-_Weatherly_Gas_Asset_(Texas,_United_States)"
Carthage (Haynesville Shale) - XTO,United States,operating,,,XTO Energy,,,oil and gas,asset,31.735,-94.191,"https://www.gem.wiki/Carthage_(Haynesville_Shale)_-_XTO_Oil_and_Gas_Asset_(Texas,_United_States)"
"Carthage (Pettit, Lower Gas) - Amplify",United States,operating,,,Amplify Energy,,,oil and gas,asset,32.128,-94.346,"https://www.gem.wiki/Carthage_(Pettit,_Lower_Gas)_-_Amplify_Oil_and_Gas_Asset_(Texas,_United_States)"
"Carthage (Pettit, Lower Gas) - CCI",United States,operating,,,CCI,,,oil and gas,asset,32.079,-94.287,"https://www.gem.wiki/Carthage_(Pettit,_Lower_Gas)_-_CCI_Oil_and_Gas_Asset_(Texas,_United_States)"
"Carthage (Pettit, Lower Gas) - Chevron",United States,operating,,,Chevron,,,oil and gas,asset,32.145,-94.246,"https://www.gem.wiki/Carthage_(Pettit,_Lower_Gas)_-_Chevron_Oil_and_Gas_Asset_(Texas,_United_States)"
"Carthage (Pettit, Lower Gas) - Harleton",United States,operating,,,Harleton Oil & Gas,,,oil and gas,asset,32.174,-94.31,"https://www.gem.wiki/Carthage_(Pettit,_Lower_Gas)_-_Harleton_Oil_and_Gas_Asset_(Texas,_United_States)"
"Carthage (Pettit, Lower Gas) - Sheridan",United States,operating,,,Sheridan Production Company,,,oil and gas,asset,32.165,-94.265,"https://www.gem.wiki/Carthage_(Pettit,_Lower_Gas)_-_Sheridan_Oil_and_Gas_Asset_(Texas,_United_States)"
Carthage (Travis Peak 6400) - Chevron,United States,operating,,,Chevron,,,oil and gas,asset,32.21,-94.423,"https://www.gem.wiki/Carthage_(Travis_Peak_6400)_-_Chevron_Oil_and_Gas_Asset_(Texas,_United_States)"
Carthage (Travis Peak 6400) - Sheridan,United States,operating,,,Sheridan Production Company,,,oil and gas,asset,32.191,-94.272,"https://www.gem.wiki/Carthage_(Travis_Peak_6400)_-_Sheridan_Oil_and_Gas_Asset_(Texas,_United_States)"
Carthage (Travis Peak) - BP,United States,operating,,,BP,,,oil and gas,asset,32.202,-94.33,"https://www.gem.wiki/Carthage_(Travis_Peak)_-_BP_Oil_and_Gas_Asset_(Texas,_United_States)"
Carthage (Travis Peak) - Sheridan,United States,operating,,,Sheridan Production Company,,,oil and gas,asset,32.172,-94.263,"https://www.gem.wiki/Carthage_(Travis_Peak)_-_Sheridan_Oil_and_Gas_Asset_(Texas,_United_States)"
"Carthage, North (Cotton Valley) - Covey Park",United States,operating,,,Covey Park Operating,,,oil and gas,asset,32.664,-94.216,"https://www.gem.wiki/Carthage,_North_(Cotton_Valley)_-_Covey_Park_Oil_and_Gas_Asset_(Texas,_United_States)"
"Carthage, North (Cotton Valley) - East Texas",United States,operating,,,East Texas Exploration,,,oil and gas,asset,32.426,-94.277,"https://www.gem.wiki/Carthage,_North_(Cotton_Valley)_-_East_Texas_Oil_and_Gas_Asset_(Texas,_United_States)"
"Carthage, SE (CV) - Rockcliff",United States,operating,,,Rockcliff Energy Operating,,,oil and gas,asset,32.057,-94.181,"https://www.gem.wiki/Carthage,_SE_(CV)_-_Rockcliff_Oil_and_Gas_Asset_(Texas,_United_States)"
"Carthage, Se (CV) - Amplify",United States,operating,,,Amplify Energy,,,oil and gas,asset,31.978,-94.1,"https://www.gem.wiki/Carthage,_Se_(CV)_-_Amplify_Oil_and_Gas_Asset_(Texas,_United_States)"
Cascade (WR206) - Murphy,United States,operating,,,Murphy E&P. Company,,,oil and gas,asset,26.737,-90.478,"https://www.gem.wiki/Cascade_(WR206)_-_Murphy_Oil_and_Gas_Asset_(Federal_offshore,_United_States)"
Caspiana - Aethon,United States,operating,,,Aethon Energy,,,oil and gas,asset,32.285,-93.683,"https://www.gem.wiki/Caspiana_-_Aethon_Oil_and_Gas_Asset_(Louisiana,_United_States)"
Caspiana - BPX,United States,operating,,,BPX Operating,,,gas,asset,32.295,-93.636,"https://www.gem.wiki/Caspiana_-_BPX_Gas_Asset_(Louisiana,_United_States)"
Caspiana - BPX (KCS Resources),United States,operating,,,BPX (KCS Resources),,,gas,asset,32.223,-93.636,"https://www.gem.wiki/Caspiana_-_BPX_(KCS_Resources)_Gas_Asset_(Louisiana,_United_States)"
Caspiana - Chesapeake,United States,operating,,,Chesapeake Operating,,,gas,asset,32.256,-93.788,"https://www.gem.wiki/Caspiana_-_Chesapeake_Gas_Asset_(Louisiana,_United_States)"
Caspiana - Comstock,United States,operating,,,Comstock Oil & Gas,,,gas,asset,32.295,-93.739,"https://www.gem.wiki/Caspiana_-_Comstock_Gas_Asset_(Louisiana,_United_States)"
Caspiana - Ensight IV,United States,operating,,,Ensight IV Energy,,,gas,asset,32.266,-93.741,"https://www.gem.wiki/Caspiana_-_Ensight_IV_Gas_Asset_(Louisiana,_United_States)"
Caspiana - Exco,United States,operating,,,Exco Operating Co.,,,gas,asset,32.205,-93.648,"https://www.gem.wiki/Caspiana_-_Exco_Gas_Asset_(Louisiana,_United_States)"
Caspiana - GEP Haynesville,United States,operating,,,GEP Haynesville,,,gas,asset,32.262,-93.776,"https://www.gem.wiki/Caspiana_-_GEP_Haynesville_Gas_Asset_(Louisiana,_United_States)"
Caspiana - Indigo Minerals,United States,operating,,,Indigo Minerals,,,oil and gas,asset,32.273,-93.888,"https://www.gem.wiki/Caspiana_-_Indigo_Minerals_Oil_and_Gas_Asset_(Louisiana,_United_States)"
Castor - Sklar,United States,operating,,,Sklar Exploration Company,,,gas,asset,32.214,-93.069,"https://www.gem.wiki/Castor_-_Sklar_Gas_Asset_(Louisiana,_United_States)"
Cat Canyon - Cat Canyon,United States,operating,,,Cat Canyon Resources,,,oil and gas,asset,34.833,-120.3,"https://www.gem.wiki/Cat_Canyon_-_Cat_Canyon_Oil_and_Gas_Asset_(California,_United_States)"
Cat Canyon - Vaquero,United States,operating,,,Vaquero Energy,,,oil and gas,asset,34.833,-120.3,"https://www.gem.wiki/Cat_Canyon_-_Vaquero_Oil_and_Gas_Asset_(California,_United_States)"
Catwalk - Continental,United States,operating,,,Continental Resources,,,oil and gas,asset,48.15,-103.55,"https://www.gem.wiki/Catwalk_-_Continental_Oil_and_Gas_Asset_(North_Dakota,_United_States)"
Cedar Coulee - Continental,United States,operating,,,Continental Resources,,,oil and gas,asset,47.523,-102.92,"https://www.gem.wiki/Cedar_Coulee_-_Continental_Oil_and_Gas_Asset_(North_Dakota,_United_States)"
Cedar Coulee - XTO,United States,operating,,,XTO Energy,,,oil and gas,asset,47.578,-102.92,"https://www.gem.wiki/Cedar_Coulee_-_XTO_Oil_and_Gas_Asset_(North_Dakota,_United_States)"
Cedar Creek - Denbury,United States,operating,,,Denbury Onshore,,,oil and gas,asset,46.093,-104.01,"https://www.gem.wiki/Cedar_Creek_-_Denbury_Oil_and_Gas_Asset_(North_Dakota,_United_States)"
"Cedar Creek, S. (Smackover) - O'Ryan",United States,operating,,,O'Ryan Oil And Gas,,,oil and gas,asset,32.249,-96.159,"https://www.gem.wiki/Cedar_Creek,_S._(Smackover)_-_O'Ryan_Oil_and_Gas_Asset_(Texas,_United_States)"
Cedar Grove - BPX,United States,operating,,,BPX Operating,,,gas,asset,32.421,-93.698,"https://www.gem.wiki/Cedar_Grove_-_BPX_Gas_Asset_(Louisiana,_United_States)"
Cedar Grove - Chesapeake,United States,operating,,,Chesapeake Operating,,,gas,asset,32.385,-93.765,"https://www.gem.wiki/Cedar_Grove_-_Chesapeake_Gas_Asset_(Louisiana,_United_States)"
Cedar Hills - Continental,United States,operating,,,Continental Resources,,,oil and gas,asset,46.174,-103.96,"https://www.gem.wiki/Cedar_Hills_-_Continental_Oil_and_Gas_Asset_(North_Dakota,_United_States)"
Cedar Hills - Denbury,United States,operating,,,Denbury Onshore,,,oil and gas,asset,46.161,-103.86,"https://www.gem.wiki/Cedar_Hills_-_Denbury_Oil_and_Gas_Asset_(North_Dakota,_United_States)"
Cedar Lake - Occidental Permian,United States,operating,,,Occidental Permian,,,oil and gas,asset,32.85,-102.24,"https://www.gem.wiki/Cedar_Lake_-_Occidental_Permian_Oil_and_Gas_Asset_(Texas,_United_States)"
Cepo - HRM,United States,operating,,,HRM Resources,,,oil and gas,asset,41.198,-108.13,"https://www.gem.wiki/Cepo_-_HRM_Oil_and_Gas_Asset_(Wyoming,_United_States)"
Chalkley - Hilcorp,United States,operating,,,Hilcorp Energy,,,oil and gas,asset,30.006,-93.046,"https://www.gem.wiki/Chalkley_-_Hilcorp_Oil_and_Gas_Asset_(Louisiana,_United_States)"
"Channelview (Yegua 10,000) - Ballard",United States,operating,,,Ballard Exploration,,,oil and gas,asset,29.788,-95.117,"https://www.gem.wiki/Channelview_(Yegua_10,000)_-_Ballard_Oil_and_Gas_Asset_(Texas,_United_States)"
Chapel Hill (Cotton Valley) - Breitburn,United States,operating,,,Breitburn Operating,,,oil and gas,asset,32.342,-95.113,"https://www.gem.wiki/Chapel_Hill_(Cotton_Valley)_-_Breitburn_Oil_and_Gas_Asset_(Texas,_United_States)"
Chapel Hill (Cotton Valley) - Elm Grove,United States,operating,,,Elm Grove Production,,,oil and gas,asset,32.26,-95.039,"https://www.gem.wiki/Chapel_Hill_(Cotton_Valley)_-_Elm_Grove_Oil_and_Gas_Asset_(Texas,_United_States)"
Chapel Hill (Cotton Valley) - Valence,United States,operating,,,Valence Operating Company,,,oil and gas,asset,32.287,-95.091,"https://www.gem.wiki/Chapel_Hill_(Cotton_Valley)_-_Valence_Oil_and_Gas_Asset_(Texas,_United_States)"
Charbonneau - Petro-Hunt,United States,operating,,,Petro-Hunt,,,oil and gas,asset,47.733,-103.75,"https://www.gem.wiki/Charbonneau_-_Petro-Hunt_Oil_and_Gas_Asset_(North_Dakota,_United_States)"
Charco (9200) - Hilcorp,United States,operating,,,Hilcorp Energy,,,oil and gas,asset,27.033,-99.161,"https://www.gem.wiki/Charco_(9200)_-_Hilcorp_Oil_and_Gas_Asset_(Texas,_United_States)"
Charco (9900) - Hilcorp,United States,operating,,,Hilcorp Energy,,,oil and gas,asset,27.09,-99.141,"https://www.gem.wiki/Charco_(9900)_-_Hilcorp_Oil_and_Gas_Asset_(Texas,_United_States)"
Charlson - Burlington,United States,operating,,,Burlington Resources,,,oil and gas,asset,48.035,-102.85,"https://www.gem.wiki/Charlson_-_Burlington_Oil_and_Gas_Asset_(North_Dakota,_United_States)"
Charlson - Oasis Petroleum,United States,operating,,,Oasis Petroleum,,,oil and gas,asset,48.06,-102.92,"https://www.gem.wiki/Charlson_-_Oasis_Petroleum_Oil_and_Gas_Asset_(North_Dakota,_United_States)"
Charlson - Petro-Hunt,United States,operating,,,Petro-Hunt,,,oil and gas,asset,48.082,-102.89,"https://www.gem.wiki/Charlson_-_Petro-Hunt_Oil_and_Gas_Asset_(North_Dakota,_United_States)"
Charlson - XTO,United States,operating,,,XTO Energy,,,oil and gas,asset,48.066,-102.9,"https://www.gem.wiki/Charlson_-_XTO_Oil_and_Gas_Asset_(North_Dakota,_United_States)"
Chemard Lake - Indigo Minerals,United States,operating,,,Indigo Minerals,,,gas,asset,31.925,-93.469,"https://www.gem.wiki/Chemard_Lake_-_Indigo_Minerals_Gas_Asset_(Louisiana,_United_States)"
Chemard Lake - Tellurian,United States,operating,,,Tellurian Operating,,,gas,asset,31.945,-93.444,"https://www.gem.wiki/Chemard_Lake_-_Tellurian_Gas_Asset_(Louisiana,_United_States)"
Chemard Lake - Vine,United States,operating,,,Vine Oil & Gas,,,gas,asset,31.961,-93.427,"https://www.gem.wiki/Chemard_Lake_-_Vine_Gas_Asset_(Louisiana,_United_States)"
Cherry Creek - Hess Bakken,United States,operating,,,Hess Bakken Investments,,,oil and gas,asset,47.733,-103.31,"https://www.gem.wiki/Cherry_Creek_-_Hess_Bakken_Oil_and_Gas_Asset_(North_Dakota,_United_States)"
Chimney Butte - Continental,United States,operating,,,Continental Resources,,,oil and gas,asset,47.454,-102.8,"https://www.gem.wiki/Chimney_Butte_-_Continental_Oil_and_Gas_Asset_(North_Dakota,_United_States)"
Chimney Butte - Marathon,United States,operating,,,Marathon Oil Company,,,oil and gas,asset,47.46,-102.75,"https://www.gem.wiki/Chimney_Butte_-_Marathon_Oil_and_Gas_Asset_(North_Dakota,_United_States)"
Chinook (WR469) - Murphy,United States,operating,,,Murphy E&P. Company,,,oil and gas,asset,26.52,-90.532,"https://www.gem.wiki/Chinook_(WR469)_-_Murphy_Oil_and_Gas_Asset_(Federal_offshore,_United_States)"
Chocolate Bayou - Llox,United States,operating,,,LLOX,,,oil and gas,asset,29.227,-95.166,"https://www.gem.wiki/Chocolate_Bayou_-_Llox_Oil_and_Gas_Asset_(Texas,_United_States)"
Choudrant - Nadel And Gussman Ruston,United States,operating,,,Nadel And Gussman Ruston,,,oil and gas,asset,32.562,-92.563,"https://www.gem.wiki/Choudrant_-_Nadel_And_Gussman_Ruston_Oil_and_Gas_Asset_(Louisiana,_United_States)"
Choudrant - Tanos,United States,operating,,,Tanos Exploration,,,oil and gas,asset,32.557,-92.559,"https://www.gem.wiki/Choudrant_-_Tanos_Oil_and_Gas_Asset_(Louisiana,_United_States)"
Church Buttes - Hilcorp,United States,operating,,,Hilcorp Energy Company,,,oil and gas,asset,41.477,-110.08,"https://www.gem.wiki/Church_Buttes_-_Hilcorp_Oil_and_Gas_Asset_(Wyoming,_United_States)"
Church Buttes - Wexpro,United States,operating,,,Wexpro Company,,,oil and gas,asset,41.434,-110.04,"https://www.gem.wiki/Church_Buttes_-_Wexpro_Oil_and_Gas_Asset_(Wyoming,_United_States)"
Circle Ridge - Merit,United States,operating,,,Merit Energy Company,,,oil and gas,asset,43.528,-109.05,"https://www.gem.wiki/Circle_Ridge_-_Merit_Oil_and_Gas_Asset_(Wyoming,_United_States)"
Cisco-Benavides (Lobo Cons.) - Hilcorp,United States,operating,,,Hilcorp Energy,,,oil and gas,asset,27.044,-99.31,"https://www.gem.wiki/Cisco-Benavides_(Lobo_Cons.)_-_Hilcorp_Oil_and_Gas_Asset_(Texas,_United_States)"
