project,country,status,discovery_year,start_year,operator,owner,parent,fuel_type,unit_type,lat,lng,url
Touat,Algeria,operating,1985,2019,Groupement TouatGaz,Neptune Energy Touat (65%);Sonatrach (35%),Engie (29.9%);China Investment Corporation (17.2%);The Carlyle Group (10.7%);CVC Capital Partners (7.2%);Sonatrach SPA (35%),oil and gas,project,28.724,-0.109,https://www.gem.wiki/Touat_Oil_and_Gas_Project_(Algeria)
Zarzaitine,Algeria,operating,1957,1960,Sonatrach and Sinopec,Sinopec (75%);Sonatrach (25%),Sinopec Group (75%);Sonatrach SPA (25%),oil,field,28.005,9.671,https://www.gem.wiki/Zarzaitine_Oil_Field_(Algeria)
Agogo,Angola,operating,2019,2020,Azule Energy,Eni S.P.A. (36.8%);Sonangol Pesquisa e Produção (36.8%);SSI Fifteen Limited (26.3%),Eni S.P.A. (36.8%);Sonangol Group (36.8%);SINOPEC (14.5%);Dayuan (8.3%);CS control (3.6%),oil,field,-6.0646,10.954,https://www.gem.wiki/Agogo_Oil_Field_(Angola)
Belize,Angola,operating,,,,,,oil and gas,field,-12.139,15.713,https://www.gem.wiki/Belize_Oil_and_Gas_Field_(Angola)
Benguela,Angola,operating,,,,,,oil and gas,field,-5.4833,11.5,https://www.gem.wiki/Benguela_Oil_and_Gas_Field_(Angola)
Benguela Belize-Lobito Tomboco (BBLT),Angola,operating,,,Chevron,Chevron (31%);Sonangol Pesquisa e Produção (20%);Eni S.P.A. (20%);TotalEnergies (20%);Galp (9%),"Chevron Corporation (31%);Sonangol Group (20%);Eni S.P.A. (20%);TotalEnergies (20%);Galp Energia, SGPS, S.A. (9%)",oil,project,-5.5215,11.523,https://www.gem.wiki/Benguela_Belize-Lobito_Tomboco_(BBLT)_Oil_Project_(Angola)
Block 3/05,Angola,operating,,,Sonangol E.P.,,,oil,complex,-7.074,12.338,https://www.gem.wiki/Block_3/05_Oil_Complex_(Angola)
CLOV,Angola,operating,,2014,TotalEnergies,TotalEnergies (38%);ExxonMobil (19%);Equinor (22.2%);BP (15.8%);Sonangol Pesquisa e Produção (5%),TotalEnergies (38%);ExxonMobil Corporation (19%);Equinor ASA (22.2%);BP P.L.C. (15.8%);Sonangol Group (5%),oil,project,-7.4145,11.581,https://www.gem.wiki/CLOV_Oil_Project_(Angola)
CLOV Phase 3,Angola,in development,,2025 (expected),TotalEnergies,,,oil,project,-7.4145,11.581,https://www.gem.wiki/CLOV_Oil_Project_(Angola)
Cabaça South East,Angola,operating,2010,2017,Eni S.P.A.,Eni S.P.A. (35%);Sonangol Pesquisa e Produção (15%);SSI Fifteen Limited (20%);TotalEnergies (15%);Other (15%),Eni S.P.A. (35%);Sonangol Group (15%);SINOPEC (11%);Dayuan (6.3%);CS control (2.7%);TotalEnergies (15%);Other (15%),oil,field,-6.1222,11.361,https://www.gem.wiki/Cabaça_South_East_Oil_Field_(Angola)
Cameia,Angola,in development,2012,2025 (expected),Total E&P Angola,,,oil,field,-12.139,15.713,https://www.gem.wiki/Cameia_Oil_Field_(Angola)
Cameia/Golfinho,Angola,in development,2012,2027 (expected),TotalEnergies,,,oil and gas,project,-12.139,15.713,https://www.gem.wiki/Cameia/Golfinho_Oil_and_Gas_Project_(Angola)
Cuica,Angola,operating,2021,2021,Eni S.P.A.,Eni S.P.A. (36.8%);Sonangol Pesquisa e Produção (36.8%);SSI Fifteen Limited (26.3%),Eni S.P.A. (36.8%);Sonangol Group (36.8%);SINOPEC (14.5%);Dayuan (8.3%);CS control (3.6%),oil and gas,field,-6.234,11.246,https://www.gem.wiki/Cuica_Oil_and_Gas_Field_(Angola)
Dalia-Camelia,Angola,operating,1997,2006,TotalEnergies,TotalEnergies (40%);Statoil (23.3%);Esso Exploration Angola (block 17) Ltd (20%);BP Exploration Angola Ltd (16.7%),TotalEnergies (40%);Equinor ASA (23.3%);ExxonMobil Corporation (20%);BP P.L.C. (16.7%),oil,project,-7.6818,11.754,https://www.gem.wiki/Dalia-Camelia_Oil_Project_(Angola)
East Hub,Angola,operating,,,Eni S.P.A.,Eni S.P.A. (35%);Sonangol Pesquisa e Produção (15%);SSI Fifteen Limited (20%);TotalEnergies (15%);Other (15%),Eni S.P.A. (35%);Sonangol Group (15%);SINOPEC (11%);Dayuan (6.3%);CS control (2.7%);TotalEnergies (15%);Other (15%),oil,project,-6.272,11.221,https://www.gem.wiki/East_Hub_Oil_Project_(Angola)
GirRI,Angola,operating,,2011,TotalEnergies,,,oil,project,-7.517,11.639,https://www.gem.wiki/GirRI_Oil_Project_(Angola)
Girassol,Angola,operating,1996,2001,TotalEnergies,TotalEnergies (38%);Equinor (22.2%);ExxonMobil (19%);BP Exploration Angola Ltd (15.8%);Sonangol Pesquisa e Produção (5%),TotalEnergies (38%);Equinor ASA (22.2%);ExxonMobil Corporation (19%);BP P.L.C. (15.8%);Sonangol Group (5%),oil,field,-7.6554,11.714,https://www.gem.wiki/Girassol_Oil_Field_(Angola)
Greater Plutonio,Angola,operating,1999,2007,Azule Energy,BP (46%);Sinopec International (37.7%);Sonangol Pesquisa e Produção (16.3%),BP P.L.C. (46%);Sinopec Group (37.7%);Sonangol Group (16.3%),oil,project,-7.985,12.328,https://www.gem.wiki/Greater_Plutonio_Oil_Project_(Angola)
Hungo,Angola,operating,1998,2004,ExxonMobil,ExxonMobil (40%);Eni S.P.A. (20%);BP (26.7%);Statoil (13.3%),ExxonMobil Corporation (40%);Eni S.P.A. (20%);BP P.L.C. (26.7%);Equinor ASA (13.3%),oil and gas,field,-6.309,11.092,https://www.gem.wiki/Hungo_Oil_and_Gas_Field_(Angola)
Kaombo,Angola,operating,2002,2018,TotalEnergies,TotalEnergies (30%);Sonangol E.P. (30%);Sonangol Sinopec International (20%);Esso (15%);Galp (5%),"TotalEnergies (30%);Sonangol Group (30%);SINOPEC (11%);Sonangol Group (2.7%);New Bright International Development (6.3%);ExxonMobil Corporation (15%);Galp Energia, SGPS, S.A. (5%)",oil,project,-7.8765,10.982,https://www.gem.wiki/Kaombo_Oil_Project_(Angola)
Kissanje,Angola,operating,1998,2005,ExxonMobil,ExxonMobil (40%);Eni S.P.A. (20%);BP (26.7%);Statoil (13.3%),ExxonMobil Corporation (40%);Eni S.P.A. (20%);BP P.L.C. (26.7%);Equinor ASA (13.3%),oil and gas,field,-6.3077,11.131,https://www.gem.wiki/Kissanje_Oil_and_Gas_Field_(Angola)
Kizomba A,Angola,operating,,2004,ExxonMobil,ExxonMobil (40%);Eni S.P.A. (20%);BP (26.7%);Statoil (13.3%),ExxonMobil Corporation (40%);Eni S.P.A. (20%);BP P.L.C. (26.7%);Equinor ASA (13.3%),oil,project,-6.309,11.092,https://www.gem.wiki/Kizomba_A_Oil_Project_(Angola)
Kizomba B,Angola,operating,,2005,ExxonMobil,ExxonMobil (40%);Eni S.P.A. (20%);BP (26.7%);Statoil (13.3%),ExxonMobil Corporation (40%);Eni S.P.A. (20%);BP P.L.C. (26.7%);Equinor ASA (13.3%),oil,project,-6.273,11.103,https://www.gem.wiki/Kizomba_B_Oil_Project_(Angola)
Kizomba C,Angola,operating,,2008,ExxonMobil,Sonangol E.P. (10%);Equinor (12%);Eni S.P.A. (18%);BP (24%);Exxonmobil (36%),Sonangol Group (10%);Equinor ASA (12%);Eni S.P.A. (18%);BP P.L.C. (24%),oil,project,-6.327,11.251,https://www.gem.wiki/Kizomba_C_Oil_Project_(Angola)
Kizomba Satellites Phase 1,Angola,operating,2001,2012,Esso Exploration Angola,ExxonMobil (40%);Eni S.P.A. (20%);BP (26.7%);Statoil (13.3%),ExxonMobil Corporation (40%);Eni S.P.A. (20%);BP P.L.C. (26.7%);Equinor ASA (13.3%),oil,project,-6.272,11.221,https://www.gem.wiki/Kizomba_Satellites_Phase_1_Oil_Project_(Angola)
Kizomba Satellites Phase 2,Angola,operating,,2015,Esso Exploration Angola,ExxonMobil (40%);Eni S.P.A. (20%);BP (26.7%);Statoil (13.3%),ExxonMobil Corporation (40%);Eni S.P.A. (20%);BP P.L.C. (26.7%);Equinor ASA (13.3%),oil,project,-6.272,11.221,https://www.gem.wiki/Kizomba_Satellites_Phase_2_Oil_Project_(Angola)
Lobito,Angola,operating,,2006,Chevron,Chevron (31%);Sonangol Pesquisa e Produção (20%);Eni S.P.A. (20%);TotalEnergies (20%);Galp (9%),"Chevron Corporation (31%);Sonangol Group (20%);Eni S.P.A. (20%);TotalEnergies (20%);Galp Energia, SGPS, S.A. (9%)",oil and gas,field,-5.577,11.527,https://www.gem.wiki/Lobito_Oil_and_Gas_Field_(Angola)
Mafumeira Sul (South),Angola,operating,,2016,Chevron,Chevron (39.2%);Sonangol E.P. (41%);TotalEnergies (10%);Eni S.P.A. (9.8%),Chevron Corporation (39.2%);Sonangol Group (41%);TotalEnergies (10%);Eni S.P.A. (9.8%),oil and gas,field,-5.7226,11.933,https://www.gem.wiki/Mafumeira_Sul_(South)_Oil_and_Gas_Field_(Angola)
Mafumeira/Mafumeira N,Angola,operating,1998,2009,Chevron,Chevron (39.2%);Sonangol E.P. (41%);TotalEnergies (10%);Eni S.P.A. (9.8%),Chevron Corporation (39.2%);Sonangol Group (41%);TotalEnergies (10%);Eni S.P.A. (9.8%),oil and gas,field,-5.6334,11.914,https://www.gem.wiki/MafumeiraMafumeira_N_Oil_and_Gas_Field_(Angola)
Marimba,Angola,operating,,2007,ExxonMobil,ExxonMobil (40%);Eni S.P.A. (20%);BP (26.7%);StatoilHydro (13.3%),ExxonMobil Corporation (40%);Eni S.P.A. (20%);BP P.L.C. (26.7%);Equinor ASA (13.3%),oil,field,-6.377,11.06,https://www.gem.wiki/Marimba_Oil_Field_(Angola)
Mondo,Angola,operating,2000,2008,Esso Exploration Angola,ExxonMobil (40%);Eni S.P.A. (20%);BP (26.7%);Statoil (13.3%),ExxonMobil Corporation (40%);Eni S.P.A. (20%);BP P.L.C. (26.7%);Equinor ASA (13.3%),oil,field,-6.1677,11.263,https://www.gem.wiki/Mondo_Oil_Field_(Angola)
Mpungi,Angola,operating,2010,2016,Eni S.P.A.,Eni S.P.A. (36.8%);Sonangol Pesquisa e Produção (36.8%);SSI Fifteen Limited (26.3%),Eni S.P.A. (36.8%);Sonangol Group (36.8%);SINOPEC (14.5%);Dayuan (8.3%);CS control (3.6%),oil,field,-6.0374,11.178,https://www.gem.wiki/Mpungi_Oil_Field_(Angola)
Ndungu,Angola,operating,,2022,Azule Energy,,,oil,field,-6.0381,11.175,https://www.gem.wiki/Ndungu_Oil_Field_(Angola)
Nemba,Angola,operating,,1998,Chevron,Eni S.P.A. (9.8%);Chevron (39.2%);Sonangol Pesquisa e Produção (41%);TotalEnergies (10%),Eni S.P.A. (9.8%);Chevron Corporation (39.2%);Sonangol Group (41%);TotalEnergies (10%),oil and gas,field,-5.408,11.694,https://www.gem.wiki/Nemba_Oil_and_Gas_Field_(Angola)
Ochigufu,Angola,operating,,2018,Eni S.P.A.,Eni S.P.A. (36.8%);Sonangol Pesquisa e Produção (36.8%);SSI Fifteen Limited (26.3%),Eni S.P.A. (36.8%);Sonangol Group (36.8%);SINOPEC (14.5%);Dayuan (8.3%);CS control (3.6%),oil,field,-6.272,11.221,https://www.gem.wiki/Ochigufu_Oil_Field_(Angola)
PSVM,Angola,operating,,,BP Exploration Angola Ltd,BP Exploration Angola Ltd (26.7%);Sonangol E.P. (25%);Sonangol Pesquisa e Produção (20%);Equinor (13.3%);Other (15%),BP P.L.C. (26.7%);Sonangol Group (25%);Sonangol Group (20%);Equinor ASA (13.3%);Other (15%),oil and gas,project,-6.1041,10.634,https://www.gem.wiki/PSVM_Oil_and_Gas_Project_(Angola)
Pacassa,Angola,operating,1982,,Sonangol E.P.,,,oil,field,-7.1191,12.314,https://www.gem.wiki/Pacassa_Oil_Field_(Angola)
Pazflor,Angola,operating,2008,2011,TotalEnergies E&P Angola,TotalEnergies E&P Angola (40%);StatoilHydro (23.3%);Esso Exploration Angola (block 17) Ltd (20%);BP Exploration Angola Ltd (16.7%),TotalEnergies (40%);Equinor ASA (23.3%);ExxonMobil Corporation (20%);BP P.L.C. (16.7%),oil,project,-7.563,12.127,https://www.gem.wiki/Pazflor_Oil_Project_(Angola)
Platina,Angola,operating,1999,2021,BP Angol,BP (46%);Sonangol Sinopec International (54%),BP P.L.C. (46%);SINOPEC (29.7%);Sonangol Group (7.3%);New Bright International Development (17%),oil,project,-7.7701,11.885,https://www.gem.wiki/Platina_Oil_Field_(Angola)
Plutonio,Angola,operating,1999,,Azule Energy,,,oil and gas,field,-7.8659,12.173,https://www.gem.wiki/Plutonio_Oil_and_Gas_Field_(Angola)
Quiluma/Maboqueiro,Angola,in development,,2026 (expected),Azule Energy,,,gas,project,-6.4551,12.086,https://www.gem.wiki/Quiluma/Maboqueiro_Gas_Project_(Angola)
Rosa,Angola,operating,1998,2007,TotalEnergies,TotalEnergies (40%);Esso Exploration Angola (block 17) Ltd (20%);BP Exploration Angola Ltd (16.7%);Statoil Angola (13.3%);Norsk Hydro Dezassete (10%),TotalEnergies (40%);ExxonMobil Corporation (20%);BP P.L.C. (16.7%);Equinor ASA (13.3%);Norsk Hydro ASA (10%),oil,field,-7.5267,11.574,https://www.gem.wiki/Rosa_Oil_Field_(Angola)
Sangos/Cinguvu,Angola,operating,2008,2014,Eni S.P.A.,Eni S.P.A. (36.8%);Sonangol Pesquisa e Produção (36.8%);SSI Fifteen Limited (26.3%),Eni S.P.A. (36.8%);Sonangol Group (36.8%);SINOPEC (14.5%);Dayuan (8.3%);CS control (3.6%),oil,field,-6.272,11.221,https://www.gem.wiki/Sangos_Cinguvu_Oil_Field_(Angola)
Sanha/Bomboco,Angola,operating,,2005,Cabinda Gulf Oil Company,Chevron (39.2%);Sonangol E.P. (41%);TotalEnergies (10%);Eni S.P.A. (9.8%),Chevron Corporation (39.2%);Sonangol Group (41%);TotalEnergies (10%);Eni S.P.A. (9.8%),oil,field,-5.625,11.789,https://www.gem.wiki/Sanha/Bomboco_Oil_Field_(Angola)
Saxi/Batuque,Angola,operating,2000,2008,ExxonMobil,ExxonMobil (36%);BP Angola (24%);Equinor (12%);Eni S.P.A. (18%);Sonangol (10%),ExxonMobil Corporation (36%);BP P.L.C. (24%);Equinor ASA (12%);Eni S.P.A. (18%);Sonangol Group (10%),oil,field,-6.2601,11.224,https://www.gem.wiki/SaxiBatuque_Oil_Field_(Angola)
Takula,Angola,operating,1971,1982,Chevron,Chevron (39.2%);Eni S.P.A. (9.8%);Sonangol Pesquisa e Produção (41%);TotalEnergies (10%),Chevron Corporation (39.2%);Eni S.P.A. (9.8%);Sonangol Group (41%);TotalEnergies (10%),oil,field,-5.271,11.858,https://www.gem.wiki/Takula_Oil_Field_(Angola)
Tomboco,Angola,operating,,,,,,oil and gas,field,-12.139,15.713,https://www.gem.wiki/Tomboco_Oil_and_Gas_Field_(Angola)
Tombua-Landana,Angola,operating,1997,2009,Chevron,Chevron (30%);Sonangol E.P. (20%);Eni S.P.A. (20%);TotalEnergies (20%);Galp (9%),"Chevron Corporation (30%);Sonangol Group (20%);Eni S.P.A. (20%);TotalEnergies (20%);Galp Energia, SGPS, S.A. (9%)",oil,field,-5.7291,11.506,https://www.gem.wiki/Tombua-Landana_Oil_Field_(Angola)
Vandumbu,Angola,operating,2014,2018,Eni S.P.A.,Eni S.P.A. (36.8%);Sonangol Pesquisa e Produção (36.8%);SSI Fifteen Limited (26.3%),Eni S.P.A. (36.8%);Sonangol Group (36.8%);SINOPEC (14.5%);Dayuan (8.3%);CS control (3.6%),oil,field,-6.272,11.221,https://www.gem.wiki/Vandumbu_Oil_Field_(Angola)
Zinia 2,Angola,operating,,2021,TotalEnergies E&P Angola,TotalEnergies (38%);Equinor (22.2%);ExxonMobil (19%);BP Exploration Angola Ltd (15.8%);Sonangol Pesquisa e Produção (5%),TotalEnergies (38%);Equinor ASA (22.2%);ExxonMobil Corporation (19%);BP P.L.C. (15.8%);Sonangol Group (5%),oil,field,-7.563,12.127,https://www.gem.wiki/Zinia_2_Oil_Field_(Angola)
25 de Mayo - Medanito Sudeste LP,Argentina,operating,,2016,Petroquimica Comodoro Rivadavia SA,,,oil and gas,field,-38.233,-69.267,https://www.gem.wiki/25_de_Mayo_-_Medanito_Sudeste_LP_Oil_and_Gas_Field_(Argentina)
25 de Mayo - Medanito Sudeste RN,Argentina,operating,,2016,Vista Oil & Gas Argentina SAU,,,oil and gas,field,-38.233,-69.267,https://www.gem.wiki/25_de_Mayo_-_Medanito_Sudeste_RN_Oil_and_Gas_Field_(Argentina)
Aguada Baguales,Argentina,operating,,,GeoPark Argentina Ltd (Sucursal Argentina),,,oil and gas,field,-38.817,-68.953,https://www.gem.wiki/Aguada_Baguales_Oil_and_Gas_Field_(Argentina)
Aguada Cánepa,Argentina,operating,,2013,Pan American Energy SL,,,oil and gas,field,-38.076,-68.465,https://www.gem.wiki/Aguada_Cánepa_Oil_and_Gas_Field_(Argentina)
Aguada Federal,Argentina,operating,,2012,Wintershall Dea Argentina SA,,,oil and gas,field,-38.089,-68.723,https://www.gem.wiki/Aguada_Federal_Oil_and_Gas_Field_(Argentina)
Aguada Pichana Este Mulichinco,Argentina,operating,,2017,Total Austral SA,,,oil and gas,field,-38.389,-69.166,https://www.gem.wiki/Aguada_Pichana_Este_Mulichinco_Oil_and_Gas_Field_(Argentina)
