project,country,status,discovery_year,start_year,operator,owner,parent,fuel_type,unit_type,lat,lng,url
Mfem,Nigeria,operating,,,Mobil,,,oil and gas,field,4.286,8.2492,https://www.gem.wiki/Mfem_Oil_and_Gas_Field_(Nigeria)
"NEMC/1-4,ODEC/1,SBAR/1",Nigeria,operating,,,Aiteo Group,,,oil and gas,field,8.6806,7.5529,"https://www.gem.wiki/NEMC1-4,ODEC1,SBAR1_Oil_and_Gas_Field_(Nigeria)"
Nembe Creek East,Nigeria,operating,,,Shell Petroleum Development Company of Nigeria,,,oil and gas,field,4.4311,6.3149,https://www.gem.wiki/Nembe_Creek_East_Oil_and_Gas_Field_(Nigeria)
Nimbe South,Nigeria,operating,,,Nigerian Agip Oil Company,,,oil and gas,field,8.6806,7.5529,https://www.gem.wiki/Nimbe_South_Oil_and_Gas_Field_(Nigeria)
North Apoi,Nigeria,operating,,,Chevron,,,oil and gas,field,8.6806,7.5529,https://www.gem.wiki/North_Apoi_Oil_and_Gas_Field_(Nigeria)
Nun River,Nigeria,operating,,,Shell Petroleum Development Company of Nigeria,,,oil and gas,field,4.821,6.067,https://www.gem.wiki/Nun_River_Oil_and_Gas_Field_(Nigeria)
Obagi,Nigeria,operating,,1966,TotalEnergies E&P,TotalEnergies;Nigerian National Petroleum Corporation,TotalEnergies;Nigerian National Petroleum Corporation,oil and gas,field,5.2441,6.6605,https://www.gem.wiki/Obagi_Oil_and_Gas_Field_(Nigeria)
Obama,Nigeria,operating,,,Nigerian Agip Oil Company,,,oil and gas,field,4.647,6.246,https://www.gem.wiki/Obama_Oil_and_Gas_Field_(Nigeria)
Obea,Nigeria,operating,,,Shell Petroleum Development Company of Nigeria,,,oil and gas,field,8.6806,7.5529,https://www.gem.wiki/Obea_Oil_and_Gas_Field_(Nigeria)
Oben/Sapele/Amukpe (NPDC),Nigeria,operating,,,Nigerian Petroleum Development Company,Nigerian Petroleum Development Company (100%),Nigerian National Petroleum Corporation (100%),oil and gas,field,5.935,5.7243,https://www.gem.wiki/ObenSapeleAmukpe_(NPDC)_Oil_and_Gas_Field_(Nigeria)
Oben/Sapele/Amukpe (Seplat),Nigeria,operating,,,Seplat Petroleum,Seplat Petroleum (45%);Nigerian Petroleum Development Company (55%),Seplat Petroleum (45%);Nigerian National Petroleum Corporation (55%),oil and gas,complex,5.935,5.7243,https://www.gem.wiki/ObenSapeleAmukpe_(Seplat)_Oil_and_Gas_Field_(Nigeria)
Obiafu,Nigeria,operating,,,Nigerian Agip Oil Company,Eni S.P.A. (20%);Nigerian National Petroleum Corporation (60%);Oando Energy Resources (20%),Eni S.P.A. (20%);Nigerian National Petroleum Corporation (60%);Oando Energy Resources (20%),oil and gas,field,5.397,6.561,https://www.gem.wiki/Obiafu_Oil_and_Gas_Field_(Nigeria)
Obiafu 41,Nigeria,operating,2019.0,2019,Eni,,,oil and gas,field,5.2093,5.4619,https://www.gem.wiki/Obiafu_41_Oil_and_Gas_Field_(Nigeria)
Obiafu/Obrikom,Nigeria,operating,,,,Eni S.P.A. (20%);Nigerian National Petroleum Corporation (60%);Oando Energy Resources (20%),Eni S.P.A. (20%);Nigerian National Petroleum Corporation (60%);Oando Energy Resources (20%),oil and gas,complex,5.4174,6.5945,https://www.gem.wiki/Obiafu/Obrikom_Oil_and_Gas_Complex_(Nigeria)
Obigbo North,Nigeria,operating,,,TNOG Oil and Gas Limited,,,oil and gas,field,4.883,7.111,https://www.gem.wiki/Obigbo_North_Oil_and_Gas_Field_(Nigeria)
Obodugwa 3,Nigeria,operating,,,Pillar,,,oil and gas,field,8.6806,7.5529,https://www.gem.wiki/Obodugwa_3_Oil_and_Gas_Field_(Nigeria)
