cell_id,grid_lat,grid_lon,settlement_count,named_settlement_count,population_estimate,population_with_nightlight_signal,population_without_nightlight_signal,nightlight_population_share_pct,total_buildings,reported_connections,modeled_demand,population_weighted_distance_transmission_km,population_weighted_distance_gridlight_km
nga_8.625_10.875,8.625,10.875,157.0,157.0,179785.0,95052.0,84733.0,52.869816725533276,39916.0,39916.0,14146.099999999999,1.62344188892288,6.287268676474678
nga_8.625_11.125,8.625,11.125,153.0,153.0,55652.0,3449.0,52203.0,6.197441242003881,13083.0,13083.0,4447.799999999999,5.806370840221376,11.953401099690936
nga_8.625_11.375,8.625,11.375,52.0,52.0,43905.0,0.0,43905.0,0.0,10323.0,10323.0,3624.1000000000004,1.4711385946930875,7.99860350757317
nga_8.625_11.625,8.625,11.625,12.0,12.0,1995.0,0.0,1995.0,0.0,469.0,469.0,161.5,14.557769423558895,23.959007017543858
nga_8.625_11.875,8.625,11.875,229.0,229.0,73948.0,0.0,73948.0,0.0,17386.0,17386.0,5914.5,7.311471980310488,9.67153862173419
nga_8.625_12.125,8.625,12.125,265.0,265.0,126101.0,7337.0,118764.0,5.8183519559718,29451.0,29451.0,10035.2,5.5878052513461425,6.899924631842729
nga_8.625_12.375,8.625,12.375,261.0,261.0,113496.0,24257.0,89239.0,21.372559385352787,25562.0,25562.0,8749.400000000001,5.705417283428491,6.202415512440967
nga_8.625_12.625,8.625,12.625,39.0,39.0,23664.0,0.0,23664.0,0.0,5391.0,5391.0,1840.4,13.073528566599053,23.941727349560512
nga_8.875_2.625,8.875,2.625,1.0,1.0,285.0,0.0,285.0,0.0,67.0,67.0,22.4,68.42,11.589
nga_8.875_2.875,8.875,2.875,45.0,45.0,16111.0,0.0,16111.0,0.0,3789.0,3789.0,1395.7000000000003,51.71958537645087,11.365697846192043
nga_8.875_3.125,8.875,3.125,82.0,82.0,36494.0,6531.0,29963.0,17.896092508357537,8360.0,8360.0,3865.7999999999997,25.42886529292486,6.743172631117443
nga_8.875_3.375,8.875,3.375,162.0,162.0,58778.0,20913.0,37865.0,35.5796386403076,13333.0,13333.0,5584.2,4.679961380108204,5.776479124842629
nga_8.875_3.625,8.875,3.625,102.0,102.0,29742.0,11640.0,18102.0,39.13657454105306,6840.0,6840.0,2928.7,3.5273508842714008,5.813980566202676
nga_8.875_3.875,8.875,3.875,67.0,67.0,92881.0,76931.0,15950.0,82.8274889374576,19880.0,19880.0,10795.1,0.4047091439583984,1.3615661653082978
nga_8.875_4.125,8.875,4.125,45.0,45.0,53943.0,46768.0,7175.0,86.69892293717443,11427.0,11427.0,6642.800000000001,0.6289283132195096,1.0822910294199435
nga_8.875_4.375,8.875,4.375,38.0,38.0,7593.0,0.0,7593.0,0.0,1785.0,1785.0,729.8,11.755253522981693,13.926728038983278
nga_8.875_4.625,8.875,4.625,105.0,105.0,24571.0,3163.0,21408.0,12.872898945911848,5778.0,5778.0,2141.0999999999995,4.124273330348784,8.117756094583045
nga_8.875_4.875,8.875,4.875,118.0,118.0,118786.0,70129.0,48657.0,59.038102133248024,26503.0,26503.0,12142.1,2.7273460677184174,2.0210477413163166
nga_8.875_5.125,8.875,5.125,106.0,106.0,93794.0,4333.0,89461.0,4.6196984881762155,21752.0,21752.0,8397.999999999998,3.698429856920485,6.966386997036058
nga_8.875_5.375,8.875,5.375,74.0,74.0,97810.0,56395.0,41415.0,57.657703711276966,21254.0,21254.0,9879.000000000002,2.0108191391473262,3.4797209998977614
nga_8.875_5.625,8.875,5.625,75.0,75.0,70318.0,25528.0,44790.0,36.30364913677863,15749.0,15749.0,6072.999999999998,2.7917260160982966,4.070459569384796
nga_8.875_5.875,8.875,5.875,124.0,124.0,139676.0,46690.0,92986.0,33.4273604627853,32375.0,32375.0,11925.7,1.2203571837681493,2.6123457143675366
nga_8.875_6.125,8.875,6.125,179.0,179.0,128751.0,13471.0,115280.0,10.462831356649657,29943.0,29943.0,10762.3,2.1297879628119394,3.634941988800087
nga_8.875_6.375,8.875,6.375,136.0,136.0,111911.0,32956.0,78955.0,29.448400961478317,25456.0,25456.0,9501.8,1.2480562232488317,4.098419842553457
nga_8.875_6.625,8.875,6.625,63.0,63.0,45113.0,7293.0,37820.0,16.16607186398599,10609.0,10609.0,3873.8999999999996,3.683072063485027,6.521985015405759
nga_8.875_6.875,8.875,6.875,110.0,110.0,66355.0,21485.0,44870.0,32.37887122296737,15043.0,15043.0,5612.500000000001,5.070804008740862,7.344817195388441
nga_8.875_7.125,8.875,7.125,209.0,209.0,696778.0,634525.0,62253.0,91.065590475015,149409.0,149409.0,71247.20000000001,0.21538729695828515,0.20037869881081202
nga_8.875_7.375,8.875,7.375,206.0,206.0,676156.0,607060.0,69096.0,89.78105644259608,148019.0,148019.0,71662.70000000001,0.3830974656736019,0.21795712232088454
nga_8.875_7.625,8.875,7.625,214.0,214.0,257102.0,178616.0,78486.0,69.47281623635756,59671.0,59671.0,26777.5,0.57415337103562,0.5917264626490654
nga_8.875_7.875,8.875,7.875,273.0,273.0,433682.0,362418.0,71264.0,83.56768323333687,94106.0,94106.0,42769.6,0.4828165107152246,0.449046342711941
nga_8.875_8.125,8.875,8.125,176.0,176.0,106282.0,48378.0,57904.0,45.51852618505485,24572.0,24572.0,9784.400000000001,2.05612286182044,2.981627142884025
nga_8.875_8.375,8.875,8.375,170.0,170.0,194745.0,142509.0,52236.0,73.17723176461527,42932.0,42932.0,20267.199999999997,0.6817928573262472,0.8261515777041771
nga_8.875_8.625,8.875,8.625,103.0,103.0,90403.0,29558.0,60845.0,32.69581761667202,20360.0,20360.0,8409.5,2.4843670010950967,5.9719697797639455
nga_8.875_8.875,8.875,8.875,31.0,31.0,33408.0,0.0,33408.0,0.0,7855.0,7855.0,2880.0,14.011563697318007,17.139298132183914
nga_8.875_9.125,8.875,9.125,122.0,122.0,41951.0,0.0,41951.0,0.0,9652.0,9652.0,3577.5999999999995,4.8491885771495316,17.39369333269767
nga_8.875_9.375,8.875,9.375,231.0,231.0,128445.0,14776.0,113669.0,11.503756471641559,28533.0,28533.0,10652.7,3.7232574253571573,9.184025863209934
nga_8.875_9.625,8.875,9.625,147.0,147.0,176747.0,125931.0,50816.0,71.2492998466735,38288.0,38288.0,15352.600000000002,0.5939874509892672,1.543415792064363
nga_8.875_9.875,8.875,9.875,85.0,85.0,71774.0,15605.0,56169.0,21.741856382534067,16248.0,16248.0,6012.900000000001,2.2811134951375154,10.265541477415221
nga_8.875_10.125,8.875,10.125,21.0,21.0,8829.0,4925.0,3904.0,55.782081775965565,2076.0,2076.0,731.9999999999999,9.635289387246576,5.318065126288368
nga_8.875_10.375,8.875,10.375,13.0,13.0,12487.0,0.0,12487.0,0.0,2936.0,2936.0,1008.4000000000001,5.4997020901737805,30.89346576439497
nga_8.875_10.625,8.875,10.625,20.0,20.0,7959.0,0.0,7959.0,0.0,1871.0,1871.0,633.5999999999999,17.638555094861164,23.257232189973617
nga_8.875_10.875,8.875,10.875,48.0,48.0,47245.0,0.0,47245.0,0.0,10797.0,10797.0,3732.7999999999997,7.813975447137263,18.915061784315803
nga_8.875_11.125,8.875,11.125,118.0,118.0,78044.0,40011.0,38033.0,51.26723386807442,17458.0,17458.0,6023.9,1.6846918405002307,3.7128642560606844
nga_8.875_11.375,8.875,11.375,167.0,167.0,744679.0,700324.0,44355.0,94.04374233730238,158172.0,158172.0,67565.69999999998,0.23900592067185997,0.20627399590964698
nga_8.875_11.625,8.875,11.625,117.0,117.0,106776.0,76780.0,29996.0,71.90754476661422,23024.0,23024.0,8865.5,0.7515845321045926,1.471323471566644
nga_8.875_11.875,8.875,11.875,237.0,237.0,77824.0,17090.0,60734.0,21.95980674342105,17972.0,17972.0,6241.999999999999,5.144891164679277,5.108670166015625
nga_8.875_12.125,8.875,12.125,233.0,233.0,136512.0,71692.0,64820.0,52.51699484294421,30478.0,30478.0,10923.4,1.2621953381387716,2.7996697579699954
nga_8.875_12.375,8.875,12.375,68.0,68.0,17824.0,0.0,17824.0,0.0,4191.0,4191.0,1424.9,9.169629151705568,20.726905913375223
nga_8.875_12.625,8.875,12.625,139.0,139.0,42125.0,0.0,42125.0,0.0,9906.0,9906.0,3390.1000000000004,7.260616735905044,24.92673934718101
nga_8.875_12.875,8.875,12.875,15.0,15.0,4330.0,0.0,4330.0,0.0,1018.0,1018.0,342.7,17.895512702078523,23.883888452655885
